
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[8]
Gate(    1)	 t q[0]
Gate(    2)	 t q[1]
Gate(    3)	 t q[8]
Gate(    4)	cx q[1], q[0]
Gate(    5)	cx q[8], q[1]
Gate(    6)	cx q[0], q[8]
Gate(    7)	tdg q[1]
Gate(    8)	cx q[0], q[1]
Gate(    9)	tdg q[0]
Gate(   10)	tdg q[1]
Gate(   11)	 t q[8]
Gate(   12)	cx q[8], q[1]
Gate(   13)	cx q[0], q[8]
Gate(   14)	cx q[1], q[0]
Gate(   15)	 h q[8]
Gate(   16)	cx q[0], q[1]
Gate(   17)	 h q[9]
Gate(   18)	 t q[2]
Gate(   19)	 t q[8]
Gate(   20)	 t q[9]
Gate(   21)	cx q[8], q[2]
Gate(   22)	cx q[9], q[8]
Gate(   23)	cx q[2], q[9]
Gate(   24)	tdg q[8]
Gate(   25)	cx q[2], q[8]
Gate(   26)	tdg q[2]
Gate(   27)	tdg q[8]
Gate(   28)	 t q[9]
Gate(   29)	cx q[9], q[8]
Gate(   30)	cx q[2], q[9]
Gate(   31)	cx q[8], q[2]
Gate(   32)	 h q[9]
Gate(   33)	 h q[8]
Gate(   34)	 t q[1]
Gate(   35)	 t q[2]
Gate(   36)	 t q[8]
Gate(   37)	cx q[2], q[1]
Gate(   38)	cx q[8], q[2]
Gate(   39)	cx q[1], q[8]
Gate(   40)	tdg q[2]
Gate(   41)	cx q[1], q[2]
Gate(   42)	tdg q[1]
Gate(   43)	tdg q[2]
Gate(   44)	 t q[8]
Gate(   45)	cx q[8], q[2]
Gate(   46)	cx q[1], q[8]
Gate(   47)	cx q[2], q[1]
Gate(   48)	 h q[8]
Gate(   49)	cx q[1], q[2]
Gate(   50)	 h q[10]
Gate(   51)	 t q[3]
Gate(   52)	 t q[9]
Gate(   53)	 t q[10]
Gate(   54)	cx q[9], q[3]
Gate(   55)	cx q[10], q[9]
Gate(   56)	cx q[3], q[10]
Gate(   57)	tdg q[9]
Gate(   58)	cx q[3], q[9]
Gate(   59)	tdg q[3]
Gate(   60)	tdg q[9]
Gate(   61)	 t q[10]
Gate(   62)	cx q[10], q[9]
Gate(   63)	cx q[3], q[10]
Gate(   64)	cx q[9], q[3]
Gate(   65)	 h q[10]
Gate(   66)	 h q[9]
Gate(   67)	 t q[3]
Gate(   68)	 t q[8]
Gate(   69)	 t q[9]
Gate(   70)	cx q[8], q[3]
Gate(   71)	cx q[9], q[8]
Gate(   72)	cx q[3], q[9]
Gate(   73)	tdg q[8]
Gate(   74)	cx q[3], q[8]
Gate(   75)	tdg q[3]
Gate(   76)	tdg q[8]
Gate(   77)	 t q[9]
Gate(   78)	cx q[9], q[8]
Gate(   79)	cx q[3], q[9]
Gate(   80)	cx q[8], q[3]
Gate(   81)	 h q[9]
Gate(   82)	 h q[8]
Gate(   83)	 t q[2]
Gate(   84)	 t q[3]
Gate(   85)	 t q[8]
Gate(   86)	cx q[3], q[2]
Gate(   87)	cx q[8], q[3]
Gate(   88)	cx q[2], q[8]
Gate(   89)	tdg q[3]
Gate(   90)	cx q[2], q[3]
Gate(   91)	tdg q[2]
Gate(   92)	tdg q[3]
Gate(   93)	 t q[8]
Gate(   94)	cx q[8], q[3]
Gate(   95)	cx q[2], q[8]
Gate(   96)	cx q[3], q[2]
Gate(   97)	 h q[8]
Gate(   98)	cx q[2], q[3]
Gate(   99)	 h q[11]
Gate(  100)	 t q[4]
Gate(  101)	 t q[10]
Gate(  102)	 t q[11]
Gate(  103)	cx q[10], q[4]
Gate(  104)	cx q[11], q[10]
Gate(  105)	cx q[4], q[11]
Gate(  106)	tdg q[10]
Gate(  107)	cx q[4], q[10]
Gate(  108)	tdg q[4]
Gate(  109)	tdg q[10]
Gate(  110)	 t q[11]
Gate(  111)	cx q[11], q[10]
Gate(  112)	cx q[4], q[11]
Gate(  113)	cx q[10], q[4]
Gate(  114)	 h q[11]
Gate(  115)	 h q[10]
Gate(  116)	 t q[4]
Gate(  117)	 t q[9]
Gate(  118)	 t q[10]
Gate(  119)	cx q[9], q[4]
Gate(  120)	cx q[10], q[9]
Gate(  121)	cx q[4], q[10]
Gate(  122)	tdg q[9]
Gate(  123)	cx q[4], q[9]
Gate(  124)	tdg q[4]
Gate(  125)	tdg q[9]
Gate(  126)	 t q[10]
Gate(  127)	cx q[10], q[9]
Gate(  128)	cx q[4], q[10]
Gate(  129)	cx q[9], q[4]
Gate(  130)	 h q[10]
Gate(  131)	 h q[9]
Gate(  132)	 t q[4]
Gate(  133)	 t q[8]
Gate(  134)	 t q[9]
Gate(  135)	cx q[8], q[4]
Gate(  136)	cx q[9], q[8]
Gate(  137)	cx q[4], q[9]
Gate(  138)	tdg q[8]
Gate(  139)	cx q[4], q[8]
Gate(  140)	tdg q[4]
Gate(  141)	tdg q[8]
Gate(  142)	 t q[9]
Gate(  143)	cx q[9], q[8]
Gate(  144)	cx q[4], q[9]
Gate(  145)	cx q[8], q[4]
Gate(  146)	 h q[9]
Gate(  147)	 h q[8]
Gate(  148)	 t q[3]
Gate(  149)	 t q[4]
Gate(  150)	 t q[8]
Gate(  151)	cx q[4], q[3]
Gate(  152)	cx q[8], q[4]
Gate(  153)	cx q[3], q[8]
Gate(  154)	tdg q[4]
Gate(  155)	cx q[3], q[4]
Gate(  156)	tdg q[3]
Gate(  157)	tdg q[4]
Gate(  158)	 t q[8]
Gate(  159)	cx q[8], q[4]
Gate(  160)	cx q[3], q[8]
Gate(  161)	cx q[4], q[3]
Gate(  162)	 h q[8]
Gate(  163)	cx q[3], q[4]
Gate(  164)	 h q[12]
Gate(  165)	 t q[5]
Gate(  166)	 t q[11]
Gate(  167)	 t q[12]
Gate(  168)	cx q[11], q[5]
Gate(  169)	cx q[12], q[11]
Gate(  170)	cx q[5], q[12]
Gate(  171)	tdg q[11]
Gate(  172)	cx q[5], q[11]
Gate(  173)	tdg q[5]
Gate(  174)	tdg q[11]
Gate(  175)	 t q[12]
Gate(  176)	cx q[12], q[11]
Gate(  177)	cx q[5], q[12]
Gate(  178)	cx q[11], q[5]
Gate(  179)	 h q[12]
Gate(  180)	 h q[10]
Gate(  181)	 t q[5]
Gate(  182)	 t q[9]
Gate(  183)	 t q[10]
Gate(  184)	cx q[9], q[5]
Gate(  185)	cx q[10], q[9]
Gate(  186)	cx q[5], q[10]
Gate(  187)	tdg q[9]
Gate(  188)	cx q[5], q[9]
Gate(  189)	tdg q[5]
Gate(  190)	tdg q[9]
Gate(  191)	 t q[10]
Gate(  192)	cx q[10], q[9]
Gate(  193)	cx q[5], q[10]
Gate(  194)	cx q[9], q[5]
Gate(  195)	 h q[10]
Gate(  196)	 h q[9]
Gate(  197)	 t q[5]
Gate(  198)	 t q[8]
Gate(  199)	 t q[9]
Gate(  200)	cx q[8], q[5]
Gate(  201)	cx q[9], q[8]
Gate(  202)	cx q[5], q[9]
Gate(  203)	tdg q[8]
Gate(  204)	cx q[5], q[8]
Gate(  205)	tdg q[5]
Gate(  206)	tdg q[8]
Gate(  207)	 t q[9]
Gate(  208)	cx q[9], q[8]
Gate(  209)	cx q[5], q[9]
Gate(  210)	cx q[8], q[5]
Gate(  211)	 h q[9]
Gate(  212)	 h q[8]
Gate(  213)	 t q[4]
Gate(  214)	 t q[5]
Gate(  215)	 t q[8]
Gate(  216)	cx q[5], q[4]
Gate(  217)	cx q[8], q[5]
Gate(  218)	cx q[4], q[8]
Gate(  219)	tdg q[5]
Gate(  220)	cx q[4], q[5]
Gate(  221)	tdg q[4]
Gate(  222)	tdg q[5]
Gate(  223)	 t q[8]
Gate(  224)	cx q[8], q[5]
Gate(  225)	cx q[4], q[8]
Gate(  226)	cx q[5], q[4]
Gate(  227)	 h q[8]
Gate(  228)	cx q[4], q[5]
Gate(  229)	 h q[13]
Gate(  230)	 t q[6]
Gate(  231)	 t q[12]
Gate(  232)	 t q[13]
Gate(  233)	cx q[12], q[6]
Gate(  234)	cx q[13], q[12]
Gate(  235)	cx q[6], q[13]
Gate(  236)	tdg q[12]
Gate(  237)	cx q[6], q[12]
Gate(  238)	tdg q[6]
Gate(  239)	tdg q[12]
Gate(  240)	 t q[13]
Gate(  241)	cx q[13], q[12]
Gate(  242)	cx q[6], q[13]
Gate(  243)	cx q[12], q[6]
Gate(  244)	 h q[13]
Gate(  245)	 h q[10]
Gate(  246)	 t q[6]
Gate(  247)	 t q[9]
Gate(  248)	 t q[10]
Gate(  249)	cx q[9], q[6]
Gate(  250)	cx q[10], q[9]
Gate(  251)	cx q[6], q[10]
Gate(  252)	tdg q[9]
Gate(  253)	cx q[6], q[9]
Gate(  254)	tdg q[6]
Gate(  255)	tdg q[9]
Gate(  256)	 t q[10]
Gate(  257)	cx q[10], q[9]
Gate(  258)	cx q[6], q[10]
Gate(  259)	cx q[9], q[6]
Gate(  260)	 h q[10]
Gate(  261)	 h q[9]
Gate(  262)	 t q[6]
Gate(  263)	 t q[8]
Gate(  264)	 t q[9]
Gate(  265)	cx q[8], q[6]
Gate(  266)	cx q[9], q[8]
Gate(  267)	cx q[6], q[9]
Gate(  268)	tdg q[8]
Gate(  269)	cx q[6], q[8]
Gate(  270)	tdg q[6]
Gate(  271)	tdg q[8]
Gate(  272)	 t q[9]
Gate(  273)	cx q[9], q[8]
Gate(  274)	cx q[6], q[9]
Gate(  275)	cx q[8], q[6]
Gate(  276)	 h q[9]
Gate(  277)	 h q[8]
Gate(  278)	 t q[5]
Gate(  279)	 t q[6]
Gate(  280)	 t q[8]
Gate(  281)	cx q[6], q[5]
Gate(  282)	cx q[8], q[6]
Gate(  283)	cx q[5], q[8]
Gate(  284)	tdg q[6]
Gate(  285)	cx q[5], q[6]
Gate(  286)	tdg q[5]
Gate(  287)	tdg q[6]
Gate(  288)	 t q[8]
Gate(  289)	cx q[8], q[6]
Gate(  290)	cx q[5], q[8]
Gate(  291)	cx q[6], q[5]
Gate(  292)	 h q[8]
Gate(  293)	cx q[5], q[6]
Gate(  294)	 h q[14]
Gate(  295)	 t q[7]
Gate(  296)	 t q[13]
Gate(  297)	 t q[14]
Gate(  298)	cx q[13], q[7]
Gate(  299)	cx q[14], q[13]
Gate(  300)	cx q[7], q[14]
Gate(  301)	tdg q[13]
Gate(  302)	cx q[7], q[13]
Gate(  303)	tdg q[7]
Gate(  304)	tdg q[13]
Gate(  305)	 t q[14]
Gate(  306)	cx q[14], q[13]
Gate(  307)	cx q[7], q[14]
Gate(  308)	cx q[13], q[7]
Gate(  309)	 h q[14]
Gate(  310)	 h q[10]
Gate(  311)	 t q[7]
Gate(  312)	 t q[9]
Gate(  313)	 t q[10]
Gate(  314)	cx q[9], q[7]
Gate(  315)	cx q[10], q[9]
Gate(  316)	cx q[7], q[10]
Gate(  317)	tdg q[9]
Gate(  318)	cx q[7], q[9]
Gate(  319)	tdg q[7]
Gate(  320)	tdg q[9]
Gate(  321)	 t q[10]
Gate(  322)	cx q[10], q[9]
Gate(  323)	cx q[7], q[10]
Gate(  324)	cx q[9], q[7]
Gate(  325)	 h q[10]
Gate(  326)	 h q[8]
Gate(  327)	 t q[6]
Gate(  328)	 t q[7]
Gate(  329)	 t q[8]
Gate(  330)	cx q[7], q[6]
Gate(  331)	cx q[8], q[7]
Gate(  332)	cx q[6], q[8]
Gate(  333)	tdg q[7]
Gate(  334)	cx q[6], q[7]
Gate(  335)	tdg q[6]
Gate(  336)	tdg q[7]
Gate(  337)	 t q[8]
Gate(  338)	cx q[8], q[7]
Gate(  339)	cx q[6], q[8]
Gate(  340)	cx q[7], q[6]
Gate(  341)	 h q[8]
