
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[0]
Gate(    1)	 h q[1]
Gate(    2)	 h q[2]
Gate(    3)	 h q[3]
Gate(    4)	 h q[4]
Gate(    5)	 h q[5]
Gate(    6)	 h q[6]
Gate(    7)	 h q[7]
Gate(    8)	 h q[8]
Gate(    9)	 h q[9]
Gate(   10)	 h q[10]
Gate(   11)	 h q[11]
Gate(   12)	 h q[12]
Gate(   13)	rz q[0]
Gate(   14)	rz q[1]
Gate(   15)	rz q[1]
Gate(   16)	cx q[0], q[1]
Gate(   17)	rz q[1]
Gate(   18)	cx q[0], q[1]
Gate(   19)	rz q[2]
Gate(   20)	rz q[3]
Gate(   21)	rz q[3]
Gate(   22)	cx q[2], q[3]
Gate(   23)	rz q[3]
Gate(   24)	cx q[2], q[3]
Gate(   25)	rz q[4]
Gate(   26)	rz q[5]
Gate(   27)	rz q[5]
Gate(   28)	cx q[4], q[5]
Gate(   29)	rz q[5]
Gate(   30)	cx q[4], q[5]
Gate(   31)	rz q[6]
Gate(   32)	rz q[7]
Gate(   33)	rz q[7]
Gate(   34)	cx q[6], q[7]
Gate(   35)	rz q[7]
Gate(   36)	cx q[6], q[7]
Gate(   37)	rz q[8]
Gate(   38)	rz q[9]
Gate(   39)	rz q[9]
Gate(   40)	cx q[8], q[9]
Gate(   41)	rz q[9]
Gate(   42)	cx q[8], q[9]
Gate(   43)	rz q[10]
Gate(   44)	rz q[11]
Gate(   45)	rz q[11]
Gate(   46)	cx q[10], q[11]
Gate(   47)	rz q[11]
Gate(   48)	cx q[10], q[11]
Gate(   49)	rz q[1]
Gate(   50)	rz q[2]
Gate(   51)	rz q[2]
Gate(   52)	cx q[1], q[2]
Gate(   53)	rz q[2]
Gate(   54)	cx q[1], q[2]
Gate(   55)	rz q[3]
Gate(   56)	rz q[4]
Gate(   57)	rz q[4]
Gate(   58)	cx q[3], q[4]
Gate(   59)	rz q[4]
Gate(   60)	cx q[3], q[4]
Gate(   61)	rz q[5]
Gate(   62)	rz q[6]
Gate(   63)	rz q[6]
Gate(   64)	cx q[5], q[6]
Gate(   65)	rz q[6]
Gate(   66)	cx q[5], q[6]
Gate(   67)	rz q[7]
Gate(   68)	rz q[8]
Gate(   69)	rz q[8]
Gate(   70)	cx q[7], q[8]
Gate(   71)	rz q[8]
Gate(   72)	cx q[7], q[8]
Gate(   73)	rz q[9]
Gate(   74)	rz q[10]
Gate(   75)	rz q[10]
Gate(   76)	cx q[9], q[10]
Gate(   77)	rz q[10]
Gate(   78)	cx q[9], q[10]
Gate(   79)	rz q[11]
Gate(   80)	rz q[12]
Gate(   81)	rz q[12]
Gate(   82)	cx q[11], q[12]
Gate(   83)	rz q[12]
Gate(   84)	cx q[11], q[12]
Gate(   85)	 h q[0]
Gate(   86)	rz q[0]
Gate(   87)	 h q[0]
Gate(   88)	 h q[1]
Gate(   89)	rz q[1]
Gate(   90)	 h q[1]
Gate(   91)	 h q[2]
Gate(   92)	rz q[2]
