
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[0]
Gate(    1)	rz q[0]
Gate(    2)	cx q[0], q[1]
Gate(    3)	rz q[0]
Gate(    4)	cx q[0], q[1]
Gate(    5)	rz q[0]
Gate(    6)	cx q[0], q[2]
Gate(    7)	rz q[0]
Gate(    8)	cx q[0], q[2]
Gate(    9)	rz q[0]
Gate(   10)	cx q[0], q[3]
Gate(   11)	rz q[0]
Gate(   12)	cx q[0], q[3]
Gate(   13)	rz q[0]
Gate(   14)	cx q[0], q[4]
Gate(   15)	rz q[0]
Gate(   16)	cx q[0], q[4]
Gate(   17)	rz q[0]
Gate(   18)	cx q[0], q[5]
Gate(   19)	rz q[0]
Gate(   20)	cx q[0], q[5]
Gate(   21)	rz q[0]
Gate(   22)	cx q[0], q[6]
Gate(   23)	rz q[0]
Gate(   24)	cx q[0], q[6]
Gate(   25)	rz q[0]
Gate(   26)	cx q[0], q[7]
Gate(   27)	rz q[0]
Gate(   28)	cx q[0], q[7]
Gate(   29)	rz q[0]
Gate(   30)	cx q[0], q[8]
Gate(   31)	rz q[0]
Gate(   32)	cx q[0], q[8]
Gate(   33)	rz q[0]
Gate(   34)	cx q[0], q[9]
Gate(   35)	rz q[0]
Gate(   36)	cx q[0], q[9]
Gate(   37)	rz q[0]
Gate(   38)	cx q[0], q[10]
Gate(   39)	rz q[0]
Gate(   40)	cx q[0], q[10]
Gate(   41)	rz q[0]
Gate(   42)	cx q[0], q[11]
Gate(   43)	rz q[0]
Gate(   44)	cx q[0], q[11]
Gate(   45)	rz q[0]
Gate(   46)	cx q[0], q[12]
Gate(   47)	rz q[0]
Gate(   48)	cx q[0], q[12]
Gate(   49)	rz q[0]
Gate(   50)	 h q[1]
Gate(   51)	rz q[1]
Gate(   52)	cx q[1], q[2]
Gate(   53)	rz q[1]
Gate(   54)	cx q[1], q[2]
Gate(   55)	rz q[1]
Gate(   56)	cx q[1], q[3]
Gate(   57)	rz q[1]
Gate(   58)	cx q[1], q[3]
Gate(   59)	rz q[1]
Gate(   60)	cx q[1], q[4]
Gate(   61)	rz q[1]
Gate(   62)	cx q[1], q[4]
Gate(   63)	rz q[1]
Gate(   64)	cx q[1], q[5]
Gate(   65)	rz q[1]
Gate(   66)	cx q[1], q[5]
Gate(   67)	rz q[1]
Gate(   68)	cx q[1], q[6]
Gate(   69)	rz q[1]
Gate(   70)	cx q[1], q[6]
Gate(   71)	rz q[1]
Gate(   72)	cx q[1], q[7]
Gate(   73)	rz q[1]
Gate(   74)	cx q[1], q[7]
Gate(   75)	rz q[1]
Gate(   76)	cx q[1], q[8]
Gate(   77)	rz q[1]
Gate(   78)	cx q[1], q[8]
Gate(   79)	rz q[1]
Gate(   80)	cx q[1], q[9]
Gate(   81)	rz q[1]
Gate(   82)	cx q[1], q[9]
Gate(   83)	rz q[1]
Gate(   84)	cx q[1], q[10]
Gate(   85)	rz q[1]
Gate(   86)	cx q[1], q[10]
Gate(   87)	rz q[1]
Gate(   88)	cx q[1], q[11]
Gate(   89)	rz q[1]
Gate(   90)	cx q[1], q[11]
Gate(   91)	rz q[1]
Gate(   92)	cx q[1], q[12]
Gate(   93)	rz q[1]
Gate(   94)	cx q[1], q[12]
Gate(   95)	 h q[2]
Gate(   96)	rz q[2]
Gate(   97)	cx q[2], q[3]
Gate(   98)	rz q[2]
Gate(   99)	cx q[2], q[3]
Gate(  100)	rz q[2]
Gate(  101)	cx q[2], q[4]
Gate(  102)	rz q[2]
Gate(  103)	cx q[2], q[4]
Gate(  104)	rz q[2]
Gate(  105)	cx q[2], q[5]
Gate(  106)	rz q[2]
Gate(  107)	cx q[2], q[5]
Gate(  108)	rz q[2]
Gate(  109)	cx q[2], q[6]
Gate(  110)	rz q[2]
Gate(  111)	cx q[2], q[6]
Gate(  112)	rz q[2]
Gate(  113)	cx q[2], q[7]
Gate(  114)	rz q[2]
Gate(  115)	cx q[2], q[7]
Gate(  116)	rz q[2]
Gate(  117)	cx q[2], q[8]
Gate(  118)	rz q[2]
Gate(  119)	cx q[2], q[8]
Gate(  120)	rz q[2]
Gate(  121)	cx q[2], q[9]
Gate(  122)	rz q[2]
Gate(  123)	cx q[2], q[9]
Gate(  124)	rz q[2]
Gate(  125)	cx q[2], q[10]
Gate(  126)	rz q[2]
Gate(  127)	cx q[2], q[10]
Gate(  128)	rz q[2]
Gate(  129)	cx q[2], q[11]
Gate(  130)	rz q[2]
Gate(  131)	cx q[2], q[11]
Gate(  132)	rz q[2]
Gate(  133)	cx q[2], q[12]
Gate(  134)	rz q[2]
Gate(  135)	cx q[2], q[12]
Gate(  136)	 h q[3]
Gate(  137)	rz q[3]
Gate(  138)	cx q[3], q[4]
Gate(  139)	rz q[3]
Gate(  140)	cx q[3], q[4]
Gate(  141)	rz q[3]
Gate(  142)	cx q[3], q[5]
Gate(  143)	rz q[3]
Gate(  144)	cx q[3], q[5]
Gate(  145)	rz q[3]
Gate(  146)	cx q[3], q[6]
Gate(  147)	rz q[3]
Gate(  148)	cx q[3], q[6]
Gate(  149)	rz q[3]
Gate(  150)	cx q[3], q[7]
Gate(  151)	rz q[3]
Gate(  152)	cx q[3], q[7]
Gate(  153)	rz q[3]
Gate(  154)	cx q[3], q[8]
Gate(  155)	rz q[3]
Gate(  156)	cx q[3], q[8]
Gate(  157)	rz q[3]
Gate(  158)	cx q[3], q[9]
Gate(  159)	rz q[3]
Gate(  160)	cx q[3], q[9]
Gate(  161)	rz q[3]
Gate(  162)	cx q[3], q[10]
Gate(  163)	rz q[3]
Gate(  164)	cx q[3], q[10]
Gate(  165)	rz q[3]
Gate(  166)	cx q[3], q[11]
Gate(  167)	rz q[3]
Gate(  168)	cx q[3], q[11]
Gate(  169)	rz q[3]
Gate(  170)	cx q[3], q[12]
Gate(  171)	rz q[3]
Gate(  172)	cx q[3], q[12]
Gate(  173)	 h q[4]
Gate(  174)	rz q[4]
Gate(  175)	cx q[4], q[5]
Gate(  176)	rz q[4]
Gate(  177)	cx q[4], q[5]
Gate(  178)	rz q[4]
Gate(  179)	cx q[4], q[6]
Gate(  180)	rz q[4]
Gate(  181)	cx q[4], q[6]
Gate(  182)	rz q[4]
Gate(  183)	cx q[4], q[7]
Gate(  184)	rz q[4]
Gate(  185)	cx q[4], q[7]
Gate(  186)	rz q[4]
Gate(  187)	cx q[4], q[8]
Gate(  188)	rz q[4]
Gate(  189)	cx q[4], q[8]
Gate(  190)	rz q[4]
Gate(  191)	cx q[4], q[9]
Gate(  192)	rz q[4]
Gate(  193)	cx q[4], q[9]
Gate(  194)	rz q[4]
Gate(  195)	cx q[4], q[10]
Gate(  196)	rz q[4]
Gate(  197)	cx q[4], q[10]
Gate(  198)	rz q[4]
Gate(  199)	cx q[4], q[11]
Gate(  200)	rz q[4]
Gate(  201)	cx q[4], q[11]
Gate(  202)	rz q[4]
Gate(  203)	cx q[4], q[12]
Gate(  204)	rz q[4]
Gate(  205)	cx q[4], q[12]
Gate(  206)	 h q[5]
Gate(  207)	rz q[5]
Gate(  208)	cx q[5], q[6]
Gate(  209)	rz q[5]
Gate(  210)	cx q[5], q[6]
Gate(  211)	rz q[5]
Gate(  212)	cx q[5], q[7]
Gate(  213)	rz q[5]
Gate(  214)	cx q[5], q[7]
Gate(  215)	rz q[5]
Gate(  216)	cx q[5], q[8]
Gate(  217)	rz q[5]
Gate(  218)	cx q[5], q[8]
Gate(  219)	rz q[5]
Gate(  220)	cx q[5], q[9]
Gate(  221)	rz q[5]
Gate(  222)	cx q[5], q[9]
Gate(  223)	rz q[5]
Gate(  224)	cx q[5], q[10]
Gate(  225)	rz q[5]
Gate(  226)	cx q[5], q[10]
Gate(  227)	rz q[5]
Gate(  228)	cx q[5], q[11]
Gate(  229)	rz q[5]
Gate(  230)	cx q[5], q[11]
Gate(  231)	rz q[5]
Gate(  232)	cx q[5], q[12]
Gate(  233)	rz q[5]
Gate(  234)	cx q[5], q[12]
Gate(  235)	 h q[6]
Gate(  236)	rz q[6]
Gate(  237)	cx q[6], q[7]
Gate(  238)	rz q[6]
Gate(  239)	cx q[6], q[7]
Gate(  240)	rz q[6]
Gate(  241)	cx q[6], q[8]
Gate(  242)	rz q[6]
Gate(  243)	cx q[6], q[8]
Gate(  244)	rz q[6]
Gate(  245)	cx q[6], q[9]
Gate(  246)	rz q[6]
Gate(  247)	cx q[6], q[9]
Gate(  248)	rz q[6]
Gate(  249)	cx q[6], q[10]
Gate(  250)	rz q[6]
Gate(  251)	cx q[6], q[10]
Gate(  252)	rz q[6]
Gate(  253)	cx q[6], q[11]
Gate(  254)	rz q[6]
Gate(  255)	cx q[6], q[11]
Gate(  256)	rz q[6]
Gate(  257)	cx q[6], q[12]
Gate(  258)	rz q[6]
Gate(  259)	cx q[6], q[12]
Gate(  260)	 h q[7]
Gate(  261)	rz q[7]
Gate(  262)	cx q[7], q[8]
Gate(  263)	rz q[7]
Gate(  264)	cx q[7], q[8]
Gate(  265)	rz q[7]
Gate(  266)	cx q[7], q[9]
