
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	 h q[1]
Gate(    1)	 t q[6]
Gate(    2)	 t q[10]
Gate(    3)	 t q[1]
Gate(    4)	cx q[10], q[6]
Gate(    5)	cx q[1], q[10]
Gate(    6)	cx q[6], q[1]
Gate(    7)	tdg q[10]
Gate(    8)	cx q[6], q[10]
Gate(    9)	tdg q[6]
Gate(   10)	tdg q[10]
Gate(   11)	 t q[1]
Gate(   12)	cx q[1], q[10]
Gate(   13)	cx q[6], q[1]
Gate(   14)	cx q[10], q[6]
Gate(   15)	 h q[1]
Gate(   16)	 h q[10]
Gate(   17)	 t q[8]
Gate(   18)	 t q[7]
Gate(   19)	 t q[10]
Gate(   20)	cx q[7], q[8]
Gate(   21)	cx q[10], q[7]
Gate(   22)	cx q[8], q[10]
Gate(   23)	tdg q[7]
Gate(   24)	cx q[8], q[7]
Gate(   25)	tdg q[8]
Gate(   26)	tdg q[7]
Gate(   27)	 t q[10]
Gate(   28)	cx q[10], q[7]
Gate(   29)	cx q[8], q[10]
Gate(   30)	cx q[7], q[8]
Gate(   31)	 h q[10]
Gate(   32)	 h q[1]
Gate(   33)	 t q[6]
Gate(   34)	 t q[10]
Gate(   35)	 t q[1]
Gate(   36)	cx q[10], q[6]
Gate(   37)	cx q[1], q[10]
Gate(   38)	cx q[6], q[1]
Gate(   39)	tdg q[10]
Gate(   40)	cx q[6], q[10]
Gate(   41)	tdg q[6]
Gate(   42)	tdg q[10]
Gate(   43)	 t q[1]
Gate(   44)	cx q[1], q[10]
Gate(   45)	cx q[6], q[1]
Gate(   46)	cx q[10], q[6]
Gate(   47)	 h q[1]
Gate(   48)	 h q[10]
Gate(   49)	 t q[8]
Gate(   50)	 t q[7]
Gate(   51)	 t q[10]
Gate(   52)	cx q[7], q[8]
Gate(   53)	cx q[10], q[7]
Gate(   54)	cx q[8], q[10]
Gate(   55)	tdg q[7]
Gate(   56)	cx q[8], q[7]
Gate(   57)	tdg q[8]
Gate(   58)	tdg q[7]
Gate(   59)	 t q[10]
Gate(   60)	cx q[10], q[7]
Gate(   61)	cx q[8], q[10]
Gate(   62)	cx q[7], q[8]
Gate(   63)	 h q[10]
Gate(   64)	 h q[0]
Gate(   65)	 t q[1]
Gate(   66)	 t q[10]
Gate(   67)	 t q[0]
Gate(   68)	cx q[10], q[1]
Gate(   69)	cx q[0], q[10]
Gate(   70)	cx q[1], q[0]
Gate(   71)	tdg q[10]
Gate(   72)	cx q[1], q[10]
Gate(   73)	tdg q[1]
Gate(   74)	tdg q[10]
Gate(   75)	 t q[0]
Gate(   76)	cx q[0], q[10]
Gate(   77)	cx q[1], q[0]
Gate(   78)	cx q[10], q[1]
Gate(   79)	 h q[0]
Gate(   80)	 h q[10]
Gate(   81)	 t q[2]
Gate(   82)	 t q[9]
Gate(   83)	 t q[10]
Gate(   84)	cx q[9], q[2]
Gate(   85)	cx q[10], q[9]
Gate(   86)	cx q[2], q[10]
Gate(   87)	tdg q[9]
Gate(   88)	cx q[2], q[9]
Gate(   89)	tdg q[2]
Gate(   90)	tdg q[9]
Gate(   91)	 t q[10]
Gate(   92)	cx q[10], q[9]
Gate(   93)	cx q[2], q[10]
Gate(   94)	cx q[9], q[2]
Gate(   95)	 h q[10]
Gate(   96)	 h q[9]
Gate(   97)	 t q[3]
Gate(   98)	 t q[8]
Gate(   99)	 t q[9]
Gate(  100)	cx q[8], q[3]
Gate(  101)	cx q[9], q[8]
Gate(  102)	cx q[3], q[9]
Gate(  103)	tdg q[8]
Gate(  104)	cx q[3], q[8]
Gate(  105)	tdg q[3]
Gate(  106)	tdg q[8]
Gate(  107)	 t q[9]
Gate(  108)	cx q[9], q[8]
Gate(  109)	cx q[3], q[9]
Gate(  110)	cx q[8], q[3]
Gate(  111)	 h q[9]
Gate(  112)	 h q[8]
Gate(  113)	 t q[5]
Gate(  114)	 t q[4]
Gate(  115)	 t q[8]
Gate(  116)	cx q[4], q[5]
Gate(  117)	cx q[8], q[4]
Gate(  118)	cx q[5], q[8]
Gate(  119)	tdg q[4]
Gate(  120)	cx q[5], q[4]
Gate(  121)	tdg q[5]
Gate(  122)	tdg q[4]
Gate(  123)	 t q[8]
Gate(  124)	cx q[8], q[4]
Gate(  125)	cx q[5], q[8]
Gate(  126)	cx q[4], q[5]
Gate(  127)	 h q[8]
Gate(  128)	 h q[9]
Gate(  129)	 t q[3]
Gate(  130)	 t q[8]
Gate(  131)	 t q[9]
Gate(  132)	cx q[8], q[3]
Gate(  133)	cx q[9], q[8]
Gate(  134)	cx q[3], q[9]
Gate(  135)	tdg q[8]
Gate(  136)	cx q[3], q[8]
Gate(  137)	tdg q[3]
Gate(  138)	tdg q[8]
Gate(  139)	 t q[9]
Gate(  140)	cx q[9], q[8]
Gate(  141)	cx q[3], q[9]
Gate(  142)	cx q[8], q[3]
Gate(  143)	 h q[9]
Gate(  144)	 h q[10]
Gate(  145)	 t q[2]
Gate(  146)	 t q[9]
Gate(  147)	 t q[10]
Gate(  148)	cx q[9], q[2]
Gate(  149)	cx q[10], q[9]
Gate(  150)	cx q[2], q[10]
Gate(  151)	tdg q[9]
Gate(  152)	cx q[2], q[9]
Gate(  153)	tdg q[2]
Gate(  154)	tdg q[9]
Gate(  155)	 t q[10]
Gate(  156)	cx q[10], q[9]
Gate(  157)	cx q[2], q[10]
Gate(  158)	cx q[9], q[2]
Gate(  159)	 h q[10]
Gate(  160)	 h q[0]
Gate(  161)	 t q[1]
Gate(  162)	 t q[10]
Gate(  163)	 t q[0]
Gate(  164)	cx q[10], q[1]
Gate(  165)	cx q[0], q[10]
Gate(  166)	cx q[1], q[0]
Gate(  167)	tdg q[10]
Gate(  168)	cx q[1], q[10]
Gate(  169)	tdg q[1]
Gate(  170)	tdg q[10]
Gate(  171)	 t q[0]
Gate(  172)	cx q[0], q[10]
Gate(  173)	cx q[1], q[0]
Gate(  174)	cx q[10], q[1]
Gate(  175)	 h q[0]
Gate(  176)	 h q[10]
Gate(  177)	 t q[2]
Gate(  178)	 t q[9]
Gate(  179)	 t q[10]
Gate(  180)	cx q[9], q[2]
Gate(  181)	cx q[10], q[9]
Gate(  182)	cx q[2], q[10]
Gate(  183)	tdg q[9]
Gate(  184)	cx q[2], q[9]
Gate(  185)	tdg q[2]
Gate(  186)	tdg q[9]
Gate(  187)	 t q[10]
Gate(  188)	cx q[10], q[9]
Gate(  189)	cx q[2], q[10]
Gate(  190)	cx q[9], q[2]
Gate(  191)	 h q[10]
Gate(  192)	 h q[9]
Gate(  193)	 t q[3]
Gate(  194)	 t q[8]
Gate(  195)	 t q[9]
Gate(  196)	cx q[8], q[3]
Gate(  197)	cx q[9], q[8]
Gate(  198)	cx q[3], q[9]
Gate(  199)	tdg q[8]
Gate(  200)	cx q[3], q[8]
Gate(  201)	tdg q[3]
Gate(  202)	tdg q[8]
Gate(  203)	 t q[9]
Gate(  204)	cx q[9], q[8]
Gate(  205)	cx q[3], q[9]
Gate(  206)	cx q[8], q[3]
Gate(  207)	 h q[9]
Gate(  208)	 h q[8]
Gate(  209)	 t q[5]
Gate(  210)	 t q[4]
Gate(  211)	 t q[8]
Gate(  212)	cx q[4], q[5]
Gate(  213)	cx q[8], q[4]
Gate(  214)	cx q[5], q[8]
Gate(  215)	tdg q[4]
Gate(  216)	cx q[5], q[4]
Gate(  217)	tdg q[5]
Gate(  218)	tdg q[4]
Gate(  219)	 t q[8]
Gate(  220)	cx q[8], q[4]
Gate(  221)	cx q[5], q[8]
Gate(  222)	cx q[4], q[5]
Gate(  223)	 h q[8]
Gate(  224)	 h q[9]
Gate(  225)	 t q[3]
Gate(  226)	 t q[8]
Gate(  227)	 t q[9]
Gate(  228)	cx q[8], q[3]
Gate(  229)	cx q[9], q[8]
Gate(  230)	cx q[3], q[9]
Gate(  231)	tdg q[8]
Gate(  232)	cx q[3], q[8]
Gate(  233)	tdg q[3]
Gate(  234)	tdg q[8]
Gate(  235)	 t q[9]
Gate(  236)	cx q[9], q[8]
Gate(  237)	cx q[3], q[9]
Gate(  238)	cx q[8], q[3]
Gate(  239)	 h q[9]
Gate(  240)	 h q[10]
Gate(  241)	 t q[2]
Gate(  242)	 t q[9]
Gate(  243)	 t q[10]
Gate(  244)	cx q[9], q[2]
Gate(  245)	cx q[10], q[9]
Gate(  246)	cx q[2], q[10]
Gate(  247)	tdg q[9]
Gate(  248)	cx q[2], q[9]
Gate(  249)	tdg q[2]
Gate(  250)	tdg q[9]
Gate(  251)	 t q[10]
Gate(  252)	cx q[10], q[9]
Gate(  253)	cx q[2], q[10]
Gate(  254)	cx q[9], q[2]
Gate(  255)	 h q[10]
Gate(  256)	 h q[1]
Gate(  257)	 t q[6]
Gate(  258)	 t q[10]
Gate(  259)	 t q[1]
Gate(  260)	cx q[10], q[6]
Gate(  261)	cx q[1], q[10]
Gate(  262)	cx q[6], q[1]
Gate(  263)	tdg q[10]
Gate(  264)	cx q[6], q[10]
Gate(  265)	tdg q[6]
Gate(  266)	tdg q[10]
Gate(  267)	 t q[1]
Gate(  268)	cx q[1], q[10]
Gate(  269)	cx q[6], q[1]
Gate(  270)	cx q[10], q[6]
Gate(  271)	 h q[1]
Gate(  272)	 h q[10]
Gate(  273)	 t q[8]
Gate(  274)	 t q[7]
Gate(  275)	 t q[10]
Gate(  276)	cx q[7], q[8]
Gate(  277)	cx q[10], q[7]
Gate(  278)	cx q[8], q[10]
Gate(  279)	tdg q[7]
Gate(  280)	cx q[8], q[7]
Gate(  281)	tdg q[8]
Gate(  282)	tdg q[7]
Gate(  283)	 t q[10]
Gate(  284)	cx q[10], q[7]
Gate(  285)	cx q[8], q[10]
Gate(  286)	cx q[7], q[8]
Gate(  287)	 h q[10]
Gate(  288)	 h q[1]
Gate(  289)	 t q[6]
Gate(  290)	 t q[10]
Gate(  291)	 t q[1]
Gate(  292)	cx q[10], q[6]
Gate(  293)	cx q[1], q[10]
Gate(  294)	cx q[6], q[1]
Gate(  295)	tdg q[10]
Gate(  296)	cx q[6], q[10]
Gate(  297)	tdg q[6]
Gate(  298)	tdg q[10]
Gate(  299)	 t q[1]
Gate(  300)	cx q[1], q[10]
Gate(  301)	cx q[6], q[1]
Gate(  302)	cx q[10], q[6]
Gate(  303)	 h q[1]
Gate(  304)	 h q[10]
Gate(  305)	 t q[8]
Gate(  306)	 t q[7]
Gate(  307)	 t q[10]
Gate(  308)	cx q[7], q[8]
Gate(  309)	cx q[10], q[7]
Gate(  310)	cx q[8], q[10]
Gate(  311)	tdg q[7]
Gate(  312)	cx q[8], q[7]
Gate(  313)	tdg q[8]
Gate(  314)	tdg q[7]
Gate(  315)	 t q[10]
Gate(  316)	cx q[10], q[7]
Gate(  317)	cx q[8], q[10]
Gate(  318)	cx q[7], q[8]
Gate(  319)	 h q[10]
Gate(  320)	 h q[0]
Gate(  321)	 t q[1]
Gate(  322)	 t q[10]
Gate(  323)	 t q[0]
Gate(  324)	cx q[10], q[1]
Gate(  325)	cx q[0], q[10]
Gate(  326)	cx q[1], q[0]
Gate(  327)	tdg q[10]
Gate(  328)	cx q[1], q[10]
Gate(  329)	tdg q[1]
Gate(  330)	tdg q[10]
Gate(  331)	 t q[0]
Gate(  332)	cx q[0], q[10]
Gate(  333)	cx q[1], q[0]
Gate(  334)	cx q[10], q[1]
Gate(  335)	 h q[0]
Gate(  336)	 h q[10]
Gate(  337)	 t q[2]
Gate(  338)	 t q[9]
Gate(  339)	 t q[10]
Gate(  340)	cx q[9], q[2]
Gate(  341)	cx q[10], q[9]
Gate(  342)	cx q[2], q[10]
Gate(  343)	tdg q[9]
Gate(  344)	cx q[2], q[9]
Gate(  345)	tdg q[2]
Gate(  346)	tdg q[9]
Gate(  347)	 t q[10]
Gate(  348)	cx q[10], q[9]
